id,date,day_id,mood,mood_5_day_average,circumplex.arousal_5_day_average,circumplex.valence_5_day_average,activity_5_day_average,screen_5_day_average,call_5_day_average,sms_5_day_average,appCat.work_5_day_average,appCat.recreation_5_day_average,appCat.utils_5_day_average,appCat.convenience_5_day_average
AS14.02,2014-03-21,33.0,0.8333333333333333,0.9680365296803654,0.9130434782608696,0.8282442748091604,0.5886735392915848,0.862631734511935,1.0,0.75,0.0,0.9298321662216633,0.3969349594025964,0.7245871831319031
AS14.02,2014-03-22,34.0,0.7222222222222222,0.9999999999999999,0.782608695652174,1.0,0.769627236622268,1.0,1.0,0.75,0.0,1.0,0.449747669814914,0.6168122146477761
AS14.02,2014-03-23,35.0,0.6944444444444444,0.9931506849315068,0.5217391304347827,0.7709923664122139,0.9433005909129587,0.8432704922738321,1.0,1.0,0.0,0.4930063543217056,0.5336450307950836,0.5973894671068751
AS14.02,2014-03-24,36.0,0.7111111111111111,0.9397260273972602,0.2434782608695652,0.5877862595419847,0.9746725205725574,0.8607553510216309,1.0,1.0,0.0,0.49802945120105263,0.5900756909368355,0.5769173452815075
AS14.02,2014-03-25,37.0,0.861111111111111,0.9287671232876711,0.20869565217391306,0.450381679389313,0.8750156988662026,0.7577970882049861,1.0,0.75,0.0,0.5559635987049006,0.5173651718425181,0.5658845746697987
AS14.02,2014-03-26,38.0,0.7999999999999999,0.9424657534246574,0.07826086956521738,0.450381679389313,0.8696980066118086,0.7328565049823862,1.0,0.5,0.0,0.6390468010537793,0.5390688186139893,0.5588561707970662
AS14.02,2014-03-27,39.0,0.8055555555555555,0.9342465753424657,0.0,0.3702290076335878,0.8724005153732658,0.5924273985529414,1.0,0.25,0.0,0.5306361325929171,0.43881040952898603,0.5490071944256232
AS14.02,2014-03-28,40.0,0.7555555555555555,0.9547945205479452,0.17391304347826086,0.5992366412213741,0.7367016526960829,0.5844176160866376,1.0,0.0,0.0,0.5457508605535875,0.4140457300839606,1.0
AS14.02,2014-03-29,41.0,0.8055555555555555,0.96986301369863,0.24347826086956526,0.7366412213740459,0.7316416673924123,0.5629389736674738,1.0,0.0,0.0,0.5871788667766689,0.32161711445140595,0.9739455933918402
AS14.02,2014-03-30,42.0,0.7777777777777777,0.9931506849315068,0.07826086956521738,0.8396946564885497,0.9042962685448733,0.5952924313289576,1.0,0.0,0.0,0.8387405957313622,0.8000362875191878,0.9456266411216332
AS14.02,2014-03-31,43.0,0.7999999999999999,0.9726027397260273,0.12173913043478268,0.8396946564885497,0.9114022985758613,0.6221620670017728,1.0,0.25,0.0,0.803546000312119,0.76147238947757,0.9229230731442257
AS14.02,2014-04-01,44.0,0.8222222222222222,0.9726027397260273,0.19130434782608696,0.8396946564885497,0.8254447474363428,0.5868107416746119,1.0,0.5,0.0,0.8824949009061663,0.739739651847181,0.9699528339470971
AS14.02,2014-04-02,45.0,0.7111111111111111,0.9767123287671232,0.15652173913043477,0.9083969465648857,0.846132160645769,0.5381909047567797,1.0,0.75,0.0,0.845627820676152,0.9822208708243331,0.6080281638388801
AS14.02,2014-04-03,46.0,0.6388888888888888,0.9657534246575342,0.15652173913043477,0.7251908396946566,0.8820708943649503,0.5821422596963894,1.0,0.5,0.0,0.8439071831094882,1.0,0.6603742151721762
AS14.02,2014-04-04,47.0,0.7111111111111111,0.9246575342465753,0.2434782608695652,0.66793893129771,0.813367903640532,0.6027775142791324,1.0,0.5,0.0,0.559922688182218,0.6181650989183918,0.6425467591735566
AS14.02,2014-04-05,48.0,0.8222222222222222,0.9082191780821919,0.20869565217391306,0.5419847328244276,0.8042355261513962,0.5623281466003415,1.0,0.25,0.0,0.6690058736730463,0.6285156986664152,0.7084761904191348
AS14.02,2014-04-06,49.0,0.5,0.9136986301369863,0.34782608695652173,0.5877862595419848,0.907665833630866,0.7144203993934808,1.0,0.25,0.0,0.5552120266128775,0.7424046795938692,0.6993876790344008
AS14.02,2014-04-07,50.0,0.7555555555555555,0.8342465753424658,0.20869565217391295,0.11832061068702288,0.8784567424033121,0.7951376618770276,1.0,0.0,0.0,0.5971492995276432,0.44136802967217587,0.5806805049577374
AS14.02,2014-04-08,51.0,0.6944444444444444,0.8452054794520547,0.31304347826086953,0.3015267175572519,0.7643739202758598,0.8047077866669288,1.0,0.0,0.0,0.6616299412867871,0.44714292012829915,0.5743841094794
AS14.02,2014-04-09,52.0,0.8055555555555555,0.8589041095890411,0.31304347826086953,0.4160305343511451,0.7265404987610034,0.7613403475304658,1.0,0.25,0.0,0.6526229393462141,0.3357704162042814,0.5943067195300289
AS14.02,2014-04-10,53.0,0.8055555555555555,0.8821917808219178,0.4347826086956522,0.4274809160305344,0.7389982916325623,0.8052825121832184,1.0,0.5,0.0,0.5184190187635072,0.32935515717738323,0.5708902390293845
AS14.02,2014-04-11,54.0,0.7222222222222222,0.8780821917808218,0.47826086956521746,0.46183206106870234,0.700781057629025,0.7232118095359819,1.0,0.5,0.0,0.5105053438931205,0.47719028258604795,0.7113520535774729
AS14.02,2014-04-12,55.0,0.6666666666666666,0.932876712328767,0.5652173913043479,0.8625954198473283,0.8315299326170278,0.6749062519014772,1.0,0.75,0.0,0.48259440198310527,0.5488946808480529,0.8478111488735082
AS14.02,2014-04-13,56.0,0.7999999999999999,0.910958904109589,0.21739130434782616,0.4961832061068703,0.9825879594013697,0.622307370215729,1.0,1.0,0.0,0.34619659616826465,0.6379177624576986,0.787824652275419
AS14.02,2014-04-14,57.0,0.8888888888888888,0.936986301369863,0.15652173913043477,0.4732824427480916,1.0,0.606679960285775,1.0,0.75,0.0,0.32488041778939264,0.6793728480276507,0.8092030416802208
AS14.02,2014-04-15,58.0,0.8055555555555555,0.9575342465753425,0.3739130434782609,0.6450381679389313,0.9624283640095819,0.5805616097390475,1.0,0.75,0.0,0.29288027755085677,0.7241970038788685,0.7623059784604562
AS14.02,2014-04-16,59.0,0.7407407407407407,0.9575342465753425,0.2434782608695652,0.5877862595419847,0.9079964666795549,0.5479620295332458,1.0,0.75,0.0,0.27950422519095824,0.46176936863747914,0.508507922015757
AS14.02,2014-04-17,60.0,0.7222222222222222,0.9621004566210045,0.2724637681159421,0.549618320610687,0.8635089697669057,0.5424852671979068,1.0,0.75,0.0,0.2155560881978921,0.40310043346741725,0.3046269220930392
AS14.02,2014-04-18,61.0,0.7222222222222222,0.9757990867579908,0.663768115942029,0.7786259541984734,0.9208536009163582,0.4932400560535303,1.0,0.75,0.0,0.17936680621867546,0.25758096009545123,0.20563392600926542
AS14.02,2014-04-19,62.0,0.6296296296296297,0.9566210045662101,0.7681159420289856,0.6870229007633588,0.7397798250289794,0.4137885876970766,1.0,0.75,0.0,0.12344849257117209,0.17960478002020253,0.06344921456809781
AS14.02,2014-04-20,63.0,0.5555555555555556,0.8926940639269407,0.5217391304347827,0.3816793893129771,0.9352896593503741,0.6598877270370126,1.0,0.5,0.0,0.09444547546449662,0.13952378778629615,0.0
AS14.02,2014-04-21,64.0,0.611111111111111,0.8310502283105023,0.4927536231884059,0.26717557251908397,0.8268098282518462,0.5118661425600713,1.0,0.5,0.0,0.03786239235540532,0.10468942089599167,0.0
AS14.02,2014-04-22,65.0,0.6296296296296297,0.7990867579908676,0.4637681159420291,0.07633587786259541,0.6060898741006537,0.4080659031211928,1.0,0.25,0.0,0.03786239235540532,0.051459263990232186,0.0
AS14.02,2014-04-23,66.0,0.611111111111111,0.776255707762557,0.18840579710144933,0.0,0.3592484253755195,0.38069206222797286,1.0,0.25,0.0,0.06172346198063146,0.04292171395068552,0.0
AS14.02,2014-04-24,67.0,0.7777777777777777,0.7488584474885844,0.18840579710144933,0.11450381679389313,0.4485026925495617,0.38069206222797286,1.0,0.5,0.0,0.06172346198063146,0.04292171395068552,0.0
AS14.02,2014-04-25,68.0,1.0,0.7853881278538812,0.21739130434782616,0.07633587786259541,0.1576568908962176,0.02484731804557639,0.0,0.5,0.0,0.036810295716761636,0.0,0.0
AS14.03,2014-02-17,1.0,0.0,,,,,,,,,,,
AS14.03,2014-02-18,2.0,0.0,,,,,,,,,,,
AS14.03,2014-02-19,3.0,0.0,,,,,,,,,,,
